value,type,path-to-net
1.000000,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/0.xml
0.973684,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/1.xml
0.964912,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/2.xml
0.960526,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/3.xml
0.889474,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/4.xml
0.896680,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/5.xml
0.895583,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/6.xml
0.891464,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/7.xml
0.877274,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/8.xml
0.863968,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/9.xml
0.852998,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/10.xml
0.836784,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/11.xml
0.820454,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/12.xml
0.810479,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/13.xml
0.805980,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/14.xml
0.727313,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/15.xml
0.720734,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/16.xml
0.705218,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/17.xml
0.626363,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/18.xml
0.536787,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/19.xml
0.536787,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/20.xml
0.546734,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/21.xml
0.557159,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/22.xml
0.550907,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/23.xml
0.558372,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/24.xml
0.551444,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/25.xml
0.520721,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/26.xml
0.513089,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/27.xml
