value,type,path-to-net
1.000000,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/0.xml
0.991228,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/1.xml
0.988304,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/2.xml
0.986842,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/3.xml
0.963158,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/4.xml
0.950337,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/5.xml
0.937517,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/6.xml
0.928970,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/7.xml
0.916149,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/8.xml
0.909312,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/9.xml
0.905038,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/10.xml
0.899971,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/11.xml
0.882427,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/12.xml
0.873655,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/13.xml
0.870731,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/14.xml
0.819449,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/15.xml
0.819449,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/16.xml
0.804829,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/17.xml
0.763804,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/18.xml
0.722778,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/19.xml
0.722778,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/20.xml
0.681111,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/21.xml
0.649861,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/22.xml
0.648579,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/23.xml
0.645655,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/24.xml
0.603989,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/25.xml
0.520655,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/26.xml
0.520655,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/27.xml
