value,type,path-to-net
1.000000,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/0.xml
0.984375,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/1.xml
0.979167,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/2.xml
0.976562,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/3.xml
0.934375,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/4.xml
0.918750,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/5.xml
0.903125,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/6.xml
0.892708,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/7.xml
0.877083,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/8.xml
0.868750,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/9.xml
0.863542,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/10.xml
0.857366,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/11.xml
0.826116,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/12.xml
0.810491,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/13.xml
0.805283,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/14.xml
0.742783,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/15.xml
0.742783,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/16.xml
0.716741,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/17.xml
0.666741,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/18.xml
0.616741,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/19.xml
0.693393,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/20.xml
0.668393,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/21.xml
0.649643,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/22.xml
0.648393,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/23.xml
0.644226,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/24.xml
0.619226,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/25.xml
0.569226,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/26.xml
0.569226,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/27.xml
