value,type,path-to-net
1.000000,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/0.xml
0.984072,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/1.xml
0.978763,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/2.xml
0.976108,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/3.xml
0.933102,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/4.xml
0.917920,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/5.xml
0.902738,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/6.xml
0.892617,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/7.xml
0.877434,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/8.xml
0.869337,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/9.xml
0.864277,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/10.xml
0.858276,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/11.xml
0.826420,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/12.xml
0.810492,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/13.xml
0.805183,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/14.xml
0.744454,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/15.xml
0.744454,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/16.xml
0.717907,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/17.xml
0.669324,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/18.xml
0.620741,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/19.xml
0.686699,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/20.xml
0.664960,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/21.xml
0.648656,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/22.xml
0.647402,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/23.xml
0.643016,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/24.xml
0.621277,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/25.xml
0.577798,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/26.xml
0.577798,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/27.xml
