value,type,path-to-net
1.000000,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/0.xml
0.974359,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/1.xml
0.950000,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/2.xml
0.926829,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/3.xml
0.808511,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/4.xml
0.791667,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/5.xml
0.775510,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/6.xml
0.760000,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/7.xml
0.716981,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/8.xml
0.678571,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/9.xml
0.644068,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/10.xml
0.584615,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/11.xml
0.567164,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/12.xml
0.535211,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/13.xml
0.506667,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/14.xml
0.493506,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/15.xml
0.469136,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/16.xml
0.431818,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/17.xml
0.395833,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/18.xml
0.365385,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/19.xml
0.410714,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/20.xml
0.403509,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/21.xml
0.389831,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/22.xml
0.383333,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/23.xml
0.370968,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/24.xml
0.365079,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/25.xml
0.353846,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/26.xml
0.338235,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-2/27.xml
