value,type,path-to-net
1.000000,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/0.xml
0.950000,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/1.xml
0.904762,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/2.xml
0.826087,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/3.xml
0.760000,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/4.xml
0.730769,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/5.xml
0.703704,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/6.xml
0.612903,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/7.xml
0.542857,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/8.xml
0.475000,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/9.xml
0.452381,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/10.xml
0.540000,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/11.xml
0.519231,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/12.xml
0.500000,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/13.xml
0.482143,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/14.xml
0.435484,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/15.xml
0.421875,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/16.xml
