value,type,path-to-net
1.000000,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/0.xml
0.972222,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/1.xml
0.962963,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/2.xml
0.925926,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/3.xml
0.916667,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/4.xml
0.888889,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/5.xml
0.879630,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/6.xml
0.814815,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/7.xml
0.740741,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/8.xml
0.670370,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/9.xml
0.648148,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/10.xml
0.756410,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/11.xml
0.748718,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/12.xml
0.707692,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/13.xml
0.630769,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/14.xml
0.630769,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/15.xml
0.630769,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/16.xml
