value,type,path-to-net
1.000000,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/0.xml
0.980769,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/1.xml
0.985121,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/2.xml
0.958030,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/3.xml
0.925253,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/4.xml
0.900459,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/5.xml
0.906523,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/6.xml
0.903335,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/7.xml
0.876156,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/8.xml
0.871203,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/9.xml
0.861977,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/10.xml
0.838977,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/11.xml
0.833974,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/12.xml
0.814406,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/13.xml
0.788066,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/14.xml
0.778176,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/15.xml
0.762225,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/16.xml
0.745123,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/17.xml
