value,type,path-to-net
1.000000,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/0.xml
0.974359,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/1.xml
0.950000,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/2.xml
0.926829,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/3.xml
0.904762,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/4.xml
0.883721,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/5.xml
0.863636,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/6.xml
0.844444,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/7.xml
0.826087,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/8.xml
0.808511,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/9.xml
0.791667,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/10.xml
0.775510,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/11.xml
0.760000,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/12.xml
0.730769,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/13.xml
0.716981,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/14.xml
0.703704,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/15.xml
0.690909,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/16.xml
0.678571,v1,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/17.xml
