value,type,path-to-net
1.000000,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/0.xml
0.992409,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/1.xml
0.986038,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/2.xml
0.970856,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/3.xml
0.955673,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/4.xml
0.945552,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/5.xml
0.929624,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/6.xml
0.913696,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/7.xml
0.898514,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/8.xml
0.882586,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/9.xml
0.866658,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/10.xml
0.851476,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/11.xml
0.840857,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/12.xml
0.819868,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/13.xml
0.788012,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/14.xml
0.777394,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/15.xml
0.761466,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/16.xml
0.745538,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/17.xml
