value,type,path-to-net
1.000000,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/0.xml
0.993590,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/1.xml
0.990081,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/2.xml
0.977260,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/3.xml
0.964440,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/4.xml
0.955893,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/5.xml
0.947121,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/6.xml
0.938349,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/7.xml
0.925529,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/8.xml
0.916757,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/9.xml
0.907985,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/10.xml
0.895164,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/11.xml
0.889316,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/12.xml
0.876271,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/13.xml
0.858727,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/14.xml
0.852879,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/15.xml
0.844107,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/16.xml
0.835335,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/17.xml
