value,type,path-to-net
1.000000,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/0.xml
0.992188,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/1.xml
0.985938,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/2.xml
0.970313,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/3.xml
0.954688,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/4.xml
0.944271,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/5.xml
0.928646,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/6.xml
0.913021,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/7.xml
0.897396,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/8.xml
0.881771,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/9.xml
0.866146,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/10.xml
0.850521,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/11.xml
0.840104,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/12.xml
0.819271,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/13.xml
0.788021,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/14.xml
0.777604,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/15.xml
0.761979,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/16.xml
0.746354,v2,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-3/17.xml
